Rank,MovieTitle,Year,Rating,Votes
139,Premam,2015.0,8.3,25709
140,Princess Mononoke,1997.0,8.3,462168
141,Kaiva,2023.0,8.3,68981
142,2001: A Space Odyssey,1968.0,8.3,755584
143,Toy Story 3,2010.0,8.3,934455
144,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,8.3,539316
145,To Kill a Mockingbird,1962.0,8.3,344072
146,American Beauty,1999.0,8.3,1251436
147,A Separation,2011.0,8.3,270127
148,Requiem for a Dream,2000.0,8.3,941591
149,Judgment at Nuremberg,1961.0,8.3,92173
150,The Apartment,1960.0,8.3,209477
151,Lawrence of Arabia,1962.0,8.3,330098
152,Amélie,2001.0,8.3,820191
153,North by Northwest,1959.0,8.3,361235
154,Double Indemnity,1944.0,8.3,175357
155,M,1931.0,8.3,177682
156,Citizen Kane,1941.0,8.3,482950
157,Metropolis,1927.0,8.3,195121
158,The Kid,1921.0,8.2,141694
159,Sherlock Jr.,1924.0,8.2,62466
160,Snatch,2000.0,8.2,948487
161,Yojimbo,1961.0,8.2,138235
162,Some Like It Hot,1959.0,8.2,295990
163,The Wild Robot,2024.0,8.2,178022
164,Spider-Man: No Way Home,2021.0,8.2,956758
165,Uri: The Surgical Strike,2019.0,8.2,76366
166,Tumbbad,2018.0,8.2,68808
167,Howl's Moving Castle,2004.0,8.2,485676
168,Oficina do Diabo,2025.0,8.2,33132
169,Hera Pheri,2000.0,8.2,76325
170,Top Gun: Maverick,2022.0,8.2,782150
171,Die Hard,1988.0,8.2,992512
172,Bhaag Milkha Bhaag,2013.0,8.2,74921
173,The Great Escape,1963.0,8.2,269757
174,A Man Escaped,1956.0,8.2,29218
175,The Act of Killing,2012.0,8.2,42530
176,The Sixth Sense,1999.0,8.2,1102675
177,They Shall Not Grow Old,2018.0,8.2,39769
178,Taxi Driver,1976.0,8.2,982357
179,Searching for Sugar Man,2012.0,8.2,74877
180,Rangasthalam,2018.0,8.2,29424
181,The Secret in Their Eyes,2009.0,8.2,233548
182,Full Metal Jacket,1987.0,8.2,824348
183,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020.0,8.2,84751
184,The Father,2020.0,8.2,214353
185,For a Few Dollars More,1965.0,8.2,289648
186,Andhadhun,2018.0,8.2,109261
187,Miracle in Cell No. 7,2019.0,8.2,59499
188,K.G.F: Chapter 1,2018.0,8.2,105092
189,Ran,1985.0,8.2,144639
190,Pan's Labyrinth,2006.0,8.2,726551
191,Gangs of Wasseypur,2012.0,8.2,108177
192,Inside Job,2010.0,8.2,81398
193,Drishyam,2015.0,8.2,101843
194,The Truman Show,1998.0,8.2,1288662
195,L.A. Confidential,1997.0,8.2,642893
196,The Treasure of the Sierra Madre,1948.0,8.2,137865
197,The Wolf of Wall Street,2013.0,8.2,1693623
198,Bicycle Thieves,1948.0,8.2,186074
199,Downfall,2004.0,8.2,389725
200,A Beautiful Mind,2001.0,8.2,1024121
201,Zindagi Na Milegi Dobara,2011.0,8.2,90790
202,Maanaadu,2021.0,8.2,26402
203,No Country for Old Men,2007.0,8.2,1126689
204,Baahubali 2: The Conclusion,2017.0,8.2,124352
205,Khosla Ka Ghosla!,2006.0,8.2,25967
206,A Clockwork Orange,1971.0,8.2,913660
207,Dial M for Murder,1954.0,8.2,198597
208,I'm Still Here,2024.0,8.2,111565
209,Close-Up,1990.0,8.2,25143
210,Prisoners,2013.0,8.2,876228
211,Casino,1995.0,8.2,594615
212,Drishyam 2,2022.0,8.2,49022
213,Kantara,2022.0,8.2,108121
214,The Mountain II,2016.0,8.2,111711
215,Pather Panchali,1955.0,8.2,40281
216,The Thing,1982.0,8.2,500758
217,1917,2019.0,8.2,731462
218,Before the Flood,2016.0,8.2,29363
219,Vertigo,1958.0,8.2,446255
220,K.G.F: Chapter 2,2022.0,8.2,159412
221,Gone with the Wind,1939.0,8.2,347503
222,The Elephant Man,1980.0,8.2,273738
223,Koyaanisqatsi,1982.0,8.2,43381
224,13th,2016.0,8.2,38580
225,Unforgiven,1992.0,8.2,455780
226,Jurassic Park,1993.0,8.2,1123184
227,Ayla: The Daughter of War,2017.0,8.2,46210
228,Manjummel Boys,2024.0,8.2,28071
229,Umberto D.,1952.0,8.2,29729
230,Vikram Vedha,2017.0,8.2,53180
231,The Sting,1973.0,8.2,291230
232,My Father and My Son,2005.0,8.2,97723
233,Green Book,2018.0,8.2,639647
234,Indiana Jones and the Last Crusade,1989.0,8.2,840733
235,Children of Heaven,1997.0,8.2,86252
236,Shutter Island,2010.0,8.2,1555837
237,Paan Singh Tomar,2012.0,8.2,39116
238,Klaus,2019.0,8.2,215520
239,There Will Be Blood,2007.0,8.2,673436
240,Dersu Uzala,1975.0,8.2,35177
